,logQ - logK
R_1,-4.14192790351
R_2,-4.87000251776
R_3,-2.60924856558
R_4,-4.85262937263
R_5,-4.96648023417
R_6,-2.13672398407
R_7,-3.06773913713
R_8,-3.30759222747
R_9,-2.13747302924
