,Entropy of Concentrations
A,0.0380262569055
B,0.00120178049807
C,0.00860149263126
D,0.00120157353256
E,0.0195074372396
F,0.000421845807942
A_ext,0.348510605689
D_ext,6.03073074635e-05
E_ext,0.348510605689
F_ext,6.03073074635e-05
