,logQ - logK
R_1,-3.43401136531
R_2,-5.93882063734
R_3,0.00385102304907
R_4,-4.49583020349
R_5,-3.35825591949
R_6,-0.193101331505
R_7,-5.58669431273
R_8,-4.1096531787
R_9,-0.0382763922387
