,fullS*net_flux
A,8.73399130796e-10
B,-2.98457258907e-09
C,1.20746872223e-09
D,1.13686837722e-13
E,1.39504408025e-10
F,3.39762884494e-10
A_ext,
D_ext,
E_ext,
F_ext,
