,Absolute activities
A,7.34657842223e-12
B,2.96734930833e-18
C,7.41704849785e-12
D,7.17154645009e-18
E,1.19964912156e-12
F,7.35552904664e-25
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
