,Entropy of Concentrations
A,0.0357216630353
B,0.0021525065641
C,0.0172911843731
D,0.00399056571688
E,0.0468561874997
F,0.000523221545095
A_ext,0.349727187629
D_ext,5.98358326367e-05
E_ext,0.349727187629
F_ext,5.98358326367e-05
