	Normalized absolute activities
A	2.5718933256e-05
B	9.16492784385e-10
C	3.81398889956e-07
D	7.15385625535e-10
E	8.15850268789e-06
F	5.96032144943e-15
A_ext	0.880766901459
D_ext	6.49983169618e-15
E_ext	0.119198838074
F_ext	1.61114719649e-17
