	Absolute activities
A	1.06788232279e-12
B	3.80539283517e-17
C	1.58361596284e-14
D	2.97037072215e-17
E	3.38751250454e-13
F	2.47480012123e-22
A_ext	3.65705449446e-08
D_ext	2.69881153326e-22
E_ext	4.94928505819e-09
F_ext	6.68968496248e-25
