,Forward likelihoods
R_1,29.8641601239
R_2,650.166069988
R_3,0.9998346294
R_4,110.759765887
R_5,27.5204920502
R_6,1.07394381358
R_7,462.27561958
R_8,58.2471720211
R_9,1.10326494843
