,Forward rate
R_1,29.3905254263
R_2,28.4539957731
R_3,23.2561247481
R_4,28.5748480995
R_5,29.384593718
R_6,0.678063834156
R_7,0.0429328076154
R_8,57.6665897259
R_9,0.498790014384
