,Normalized Concentrations
A,0.0150703901283
B,8.89841021325e-05
C,0.0338986132834
D,0.00028464029436
E,0.016256410867
F,4.85422505752e-06
A_ext,0.467193381616
D_ext,4.67193381616e-06
E_ext,0.467193381616
F_ext,4.67193381616e-06
