,Chemical potential
A,-25.6367864319
B,-40.3588626084
C,-25.6272399145
D,-39.4764103591
E,-27.4489920006
F,-55.5691750432
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
