	Chemical potential
A	-27.5653435661
B	-37.8075273531
C	-31.7764804856
D	-38.0552598136
E	-28.7135103313
F	-49.7507124122
A_ext	-17.1240227035
D_ext	-49.6640605426
E_ext	-19.1240227035
F_ext	-55.6640605426
