,Concentrations
A,3.22572851442e-05
B,1.90465245515e-07
C,7.25579912245e-05
D,6.0925583615e-07
E,3.47958928928e-05
F,1.03901836981e-08
A_ext,0.001
D_ext,1e-08
E_ext,0.001
F_ext,1e-08
