,logK - logQ
R_1,4.21198281253
R_2,4.13165179396
R_3,1.69875407139
R_4,3.86835474701
R_5,3.86835704035
R_6,2.38493048688
R_7,2.53283190518
R_8,4.68293904459
R_9,2.38541857084
