,Microscopic Reaction Entropy Production Net Flux
R_1,21.9316171469
R_2,19.9304360681
R_3,0.274332972613
R_4,12.0688014789
R_5,12.0688014789
R_6,0.902813574039
R_7,1.75036187651
R_8,38.2956083359
R_9,0.902813574039
