,logK - logQ
R_1,4.246551155856251
R_2,4.178877390675597
R_3,1.5647891046790332
R_4,3.8386621349709236
R_5,3.8386621349709262
R_6,2.2536822771225467
R_7,2.6434317398818927
R_8,4.671735833274365
R_9,2.25368227712255
