,logQ - logK
R_1,-4.24655115586
R_2,-4.17887739068
R_3,-1.56478910468
R_4,-3.83866213497
R_5,-3.83866213497
R_6,-2.25368227712
R_7,-2.64343173988
R_8,-4.67173583327
R_9,-2.25368227712
