,Log Concentrations
A,-11.1543064348
B,-14.5263926412
C,-11.9123043552
D,-13.7489449107
E,-10.746417414
F,-16.1669984668
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
