,Forward likelihoods
R_1,69.8640461228
R_2,65.2925140184
R_3,4.7816663955
R_4,46.4632712447
R_5,46.4632712447
R_6,9.52273655643
R_7,14.0613758071
R_8,106.883112764
R_9,9.52273655643
