,log Q_r
R_1,-4.24655115586
R_2,-3.37208620631
R_3,-0.757997920318
R_4,-2.22507976625
R_5,-3.83866213497
R_6,0.97348246032
R_7,-1.83664055552
R_8,-4.67173583327
R_9,-2.25368227712
