,Chemical potential
A,-27.65103697477224
B,-38.01029094700586
C,-31.530080610875068
D,-38.083032083632396
E,-28.639897961872492
F,-50.077280912883076
A_ext,-17.12402270348606
D_ext,-49.66406054262949
E_ext,-19.12402270348606
F_ext,-55.66406054262949
