,Backward probabilities
R_1,3.83301493807e-05
R_2,4.10138798373e-05
R_3,0.000560034745783
R_4,5.76347564966e-05
R_5,5.76347564966e-05
R_6,0.00028121111073
R_7,0.000190443620949
R_8,2.50544660888e-05
R_9,0.00028121111073
