,Backward rate
R_1,1.01431351397
R_2,1.01531569147
R_3,1.20913211364
R_4,1.02152237613
R_5,1.02152237613
R_6,1.1050118308
R_7,1.07111679637
R_8,1.00935601494
R_9,1.1050118308
