	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	69.8640461228	0.0143135139674	-10.5270142713	-4.24655115586	-0.0	0.0	4.24655115586	-4.24655115586	4.24655115529	-4.24655115529	0.1870888819	3.83301493807e-05	0.18705055175	69.8497326088	70.8640461228	1.01431351397	10.5270142713	69.8497326088	0.313593046339	0.000389789783132	0.313982836122	0.313203256556	22.2228674686	21.9316171469	21.8771637226	1.87420303387	108.125586506	33.5565252512	33.4732086543	200.30311914	197.606063245
R_2	65.2925140184	0.0153156914699	-10.3592539722	-3.37208620631	0.806791184361	-2.0	4.17887739068	-4.17887739068	4.17887738987	-4.17887738987	0.174846779167	4.10138798373e-05	0.174805765287	65.277198327	66.2925140184	1.01531569147	10.3592539722	65.277198327	0.304905722914	0.000414305809218	0.305320028723	0.304491417105	20.2133875618	19.9304360681	19.8763466232	1.87420303387	108.125586506	32.6306984805	32.5421416439	200.30311914	197.606063245
R_3	4.7816663955	0.209132113637	-3.8790436361	-0.757997920318	0.806791184361	-2.0	1.56478910468	-1.56478910468	1.56478910406	-1.56478910406	0.0128048212092	0.000560034745783	0.0122447864634	4.57253428186	5.7816663955	1.20913211364	3.8790436361	4.57253428186	0.0558025595908	0.00419326672833	0.0599958263191	0.0516092928625	0.327701997031	0.274332972613	0.235985260876	1.87420303387	108.125586506	6.41197934801	5.51567901139	200.30311914	197.606063245
R_4	46.4632712447	0.0215223761309	-9.51587525839	-2.22507976625	1.61358236872	-4.0	3.83866213497	-3.83866213497	3.83866213478	-3.83866213478	0.124423962668	5.76347564966e-05	0.124366327911	46.4417488686	47.4632712447	1.02152237613	9.51587525839	46.4417488686	0.259307064764	0.000562595033761	0.259869659798	0.25874446973	12.308136254	12.0688014789	12.0165456844	1.87420303387	108.125586506	27.7732468078	27.6529935182	200.30311914	197.606063245
R_5	46.4632712447	0.0215223761309	-9.51587525839	-3.83866213497	-0.0	0.0	3.83866213497	-3.83866213497	3.83866213478	-3.83866213478	0.124423962668	5.76347564966e-05	0.124366327911	46.4417488686	47.4632712447	1.02152237613	9.51587525839	46.4417488686	0.259307064764	0.000562595033761	0.259869659798	0.25874446973	12.308136254	12.0688014789	12.0165456844	1.87420303387	108.125586506	27.7732468078	27.6529935182	200.30311914	197.606063245
R_6	9.52273655643	0.105011830798	-5.58677962975	0.97348246032	3.22716473744	-8.0	2.25368227712	-2.25368227712	2.2536822609	-2.2536822609	0.0255009297892	0.00028121111073	0.0252197186785	9.41772472564	10.5227365564	1.1050118308	5.58677962975	9.41772472564	0.0935639407458	0.00229929590004	0.0958632366459	0.0912646448458	0.987089448822	0.902813574039	0.85950530234	1.87420303387	108.125586506	10.2452642345	9.75379545307	200.30311914	197.606063245
R_7	14.0613758071	0.0711167963734	-6.55295147276	-1.83664055552	0.806791184361	-2.0	2.64343173988	-2.64343173988	2.64343173416	-2.64343173416	0.0376549487714	0.000190443620949	0.0374645051504	13.9902590107	15.0613758071	1.07111679637	6.55295147276	13.9902590107	0.123481530541	0.00163136945397	0.125112899995	0.121850161087	1.86154912393	1.75036187651	1.7047153141	1.87420303387	108.125586506	13.3712856403	13.0225844759	200.30311914	197.606063245
R_8	106.883112764	0.00935601494134	-11.581028459	-4.67173583327	-0.0	0.0	4.67173583327	-4.67173583327	4.67173583328	-4.67173583328	0.286222215443	2.50544660888e-05	0.286197160977	106.873756749	107.883112764	1.00935601494	11.581028459	106.873756749	0.358060211319	0.000265438500199	0.358325649819	0.357794772819	38.6289180761	38.2956083359	38.2388715165	1.87420303387	108.125586506	38.2956083359	38.2388715165	200.30311914	197.606063245
R_9	9.52273655643	0.105011830798	-5.58677962975	-2.25368227712	-0.0	0.0	2.25368227712	-2.25368227712	2.2536822609	-2.2536822609	0.0255009297892	0.00028121111073	0.0252197186785	9.41772472564	10.5227365564	1.1050118308	5.58677962975	9.41772472564	0.0935639407458	0.00229929590004	0.0958632366459	0.0912646448458	0.987089448822	0.902813574039	0.85950530234	1.87420303387	108.125586506	10.2452642345	9.75379545307	200.30311914	197.606063245
