,fullS*net_flux
A,-3.70476982425e-11
B,7.10824821226e-09
C,-3.18324744342e-09
D,-1.53710288942e-09
E,0.0
F,0.0
A_ext,-69.8497326088
D_ext,106.873756749
E_ext,-46.4417488686
F_ext,9.41772472564
