,Log Concentrations
A,-11.154287740353148
B,-14.526365234715092
C,-11.912289195245743
D,-13.74893233263082
E,-10.746418443170693
F,-16.166978489063577
A_ext,-6.907755278982137
D_ext,-18.420680743952367
E_ext,-6.907755278982137
F_ext,-18.420680743952367
