,Forward likelihoods
R_1,69.8634565497
R_2,65.2918490153
R_3,4.78173901133
R_4,46.4619653778
R_5,46.4619656172
R_6,9.52305403983
R_7,14.061770383
R_8,106.880896149
R_9,9.52305459433
