,Backward Log likelihoods
R_1,-4.246542716392098
R_2,-4.178867204836134
R_3,-1.5648042902420252
R_4,-3.838634029026512
R_5,-3.838634034179219
R_6,-2.253715599860761
R_7,-2.643459794744715
R_8,-4.671715094380017
R_9,-2.253715658087778
