,logK - logQ
R_1,4.24653246137
R_2,4.17886867872
R_3,1.56479263925
R_4,3.8386633561
R_5,3.83866316419
R_6,2.25370195232
R_7,2.64343432175
R_8,4.67174841132
R_9,2.25370225489
