,Forward rate
R_1,70.8634565497
R_2,66.2918490153
R_3,5.78173901133
R_4,47.4619653778
R_5,47.4619656172
R_6,10.5230540398
R_7,15.061770383
R_8,107.880896149
R_9,10.5230545943
