,Thermodynamic driving force
R_1,10.5269679285
R_2,10.3592323757
R_3,3.87905239816
R_4,9.5158782855
R_5,9.51587780977
R_6,5.5868284037
R_7,6.55295787308
R_8,11.5810596394
R_9,5.58682915375
