,logQ - logK
R_1,-4.246532461371011
R_2,-4.1788686787225995
R_3,-1.5647926392532505
R_4,-3.8386633560971672
R_5,-3.8386631641885565
R_6,-2.2537019523217587
R_7,-2.6434343217457337
R_8,-4.671748411321547
R_9,-2.2537022548887897
