,Total Macroscopic Entropy Production Net Flux
R_1,200.299780155
R_2,200.299780155
R_3,200.299780155
R_4,200.299780155
R_5,200.299780155
R_6,200.299780155
R_7,200.299780155
R_8,200.299780155
R_9,200.299780155
