,log K_eq
R_1,-0.0
R_2,0.8067911843606557
R_3,0.8067911843606557
R_4,1.6135823687213113
R_5,-0.0
R_6,3.2271647374426227
R_7,0.8067911843606557
R_8,-0.0
R_9,-0.0
