,Concentrations
A,1.4313781545617628e-05
B,4.912241801108204e-07
C,6.707466861013329e-06
D,1.068844571528038e-06
E,2.1522353975575927e-05
F,9.522926955793055e-08
A_ext,0.0010000000000000002
D_ext,9.999999999999982e-09
E_ext,0.0010000000000000002
F_ext,9.999999999999982e-09
