,Absolute activities
A,9.802285541054261e-13
B,3.107204891164635e-17
C,2.0261719457519733e-14
D,2.889101856986782e-17
E,3.646273531022296e-13
F,1.785396745629548e-22
A_ext,3.6570544944566896e-08
D_ext,2.6988115332611054e-22
E_ext,4.9492850581902354e-09
F_ext,6.689684962483237e-25
