,logK - logQ
R_1,4.24628867401
R_2,4.18184934665
R_3,1.57356316192
R_4,3.8481433749
R_5,3.8481420918
R_6,2.2552148284
R_7,2.64575549993
R_8,4.66090049783
R_9,2.25524235297
