,fullS*net_flux
A,-0.000278174641969
B,-0.000519321476187
C,-0.000542872087212
D,-0.000545507997515
E,-0.000285593090453
F,-0.000250276250394
A_ext,-71.0873673564
D_ext,109.249595049
E_ext,-47.592304247
F_ext,9.43249829979
