,Absolute activities
A,9.80821122682e-13
B,3.08619507924e-17
C,1.98379339631e-14
D,2.81244489765e-17
E,3.56159276032e-13
F,1.79222612546e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
