,Log Concentrations
A,-11.154043953
B,-14.5291021153
C,-11.9208159306
D,-13.7597802461
E,-10.7558973708
F,-16.165438391
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
