,fullS*net_likelihood
A,0.2907466838
B,0.30672587583
C,-0.255949589122
D,-0.169684004636
E,-0.0711900824426
F,-0.0281285826408
A_ext,-212.539658939
D_ext,410.142126579
E_ext,-200.803877656
F_ext,3.12888971511
