,Net flux
R_1,212.539658939
R_2,207.383315879
R_3,4.86559637565
R_4,200.875067738
R_5,200.803877656
R_6,3.10076113247
R_7,8.22230709724
R_8,410.142126579
R_9,3.12888971511
