,Absolute activities
A,8.55165153659e-13
B,4.59695320845e-18
C,1.68811240622e-14
D,2.08927036945e-17
E,1.87253944571e-12
F,5.04950954492e-23
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
