,fullS*forward_rate
A,-0.906877604705
B,-2.28248215966
C,1.11621088598
D,1.9577067665
E,-0.0711883176687
F,-0.0258989705144
A_ext,-213.544363839
D_ext,411.144564744
E_ext,-201.808857516
F_ext,4.42118601138
