,Forward Log likelihoods
R_1,5.35915073758
R_2,5.33459209915
R_3,1.62197967228
R_4,5.30270794301
R_5,5.30235349798
R_6,1.22238830556
R_7,2.12132455423
R_8,6.01650969449
R_9,1.22998727791
