,Macroscopic Reaction Entropy Production Net Flux
R_1,90.1987317955
R_2,74.7180218575
R_3,49.7981120412
R_4,76.7061311618
R_5,78.2167444151
R_6,4.4081412094
R_7,54.251493274
R_8,108.292731231
R_9,6.8777144019
