,Log Concentrations
A,-9.984361801670797
B,-14.62783363574195
C,-11.057411006177288
D,-14.197624736215337
E,-10.888693822400752
F,-15.922207827636278
A_ext,-6.907755278982137
D_ext,-18.420680743952367
E_ext,-6.907755278982137
F_ext,-18.420680743952367
