,Forward likelihoods
R_1,159.424817354
R_2,108.022271684
R_3,54.5146404044
R_4,113.546197929
R_5,117.914586198
R_6,0.997119460601
R_7,62.3822914776
R_8,296.632460645
R_9,3.37173130508
