,Net flux
R_1,159.418544805
R_2,108.013014334
R_3,54.4962967082
R_4,113.537390941
R_5,117.906105483
R_6,-0.00576940027473
R_7,62.3662612874
R_8,296.62908947
R_9,3.07514776698
