,Backward Log likelihoods
R_1,-5.071572446545
R_2,-4.682337425158071
R_3,-3.9984692968678046
R_4,-4.732209784315002
R_5,-4.769960516583224
R_6,0.0028846961365415137
R_7,-4.133281444676176
R_8,-5.692493866214847
R_9,-1.2154263528261093
