,Entropy of Concentrations
A,0.0843939184002
B,0.00180217310671
C,0.0369880719611
D,0.00262996129169
E,0.0422730148811
F,0.000569549548156
A_ext,0.35221233358
D_ext,5.88243020246e-05
E_ext,0.35221233358
F_ext,5.88243020246e-05
