,Delta G
R_1,-7.62677278168
R_2,-13.5109632432
R_3,-4.66004196701
R_4,-11.1362257548
R_5,-9.86857224171
R_6,-2.35777563813
R_7,-9.78445226202
R_8,-10.4687708284
R_9,-6.19360489988
