,fullS*net_probabilities
A,-0.00336620182518
B,-0.00600411783446
C,-0.00857758499429
D,-0.00782861359404
E,0.004758035302
F,-0.00335547504926
A_ext,-0.173625229256
D_ext,0.323063378393
E_ext,-0.128413382648
F_ext,0.00334919150523
