,Absolute activities
A,1.78182930812e-11
B,2.41618017371e-17
C,1.68669122829e-13
D,9.49952654218e-18
E,2.56257154411e-13
F,3.27532271484e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
