,log Q_r
R_1,-3.07660652269
R_2,-4.64347183407
R_3,-1.07304920451
R_4,-2.87872201429
R_5,-3.98093854342
R_6,2.27604843767
R_7,-3.14021373004
R_8,-4.22305600774
R_9,-2.49847291632
