,Forward rate
R_1,160.424817354
R_2,109.022271684
R_3,55.5146404044
R_4,114.546197929
R_5,118.914586198
R_6,1.9971194606
R_7,63.3822914776
R_8,297.632460645
R_9,4.37173130508
