,logQ - logK
R_1,-3.0766065226886603
R_2,-5.450263018431809
R_3,-1.8798403888671467
R_4,-4.492304383009283
R_5,-3.980938543418615
R_6,-0.9511162997722877
R_7,-3.9470049143987045
R_8,-4.22305600773703
R_9,-2.4984729163160893
