,Forward rate
R_1,733700.76116
R_2,1026947.5447
R_3,464337.742187
R_4,2012496.28814
R_5,1728456.73661
R_6,109263.318078
R_7,272774.477172
R_8,51676363.7801
R_9,17921.050855
