	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	40.3007736412	0.0248134194371	-9.17357333629	-3.7005790484	-0.0	0.0	3.7005790484	-3.7005790484	3.69637066582	-3.69637066582	0.00840457483272	5.17474533793e-06	0.00839940008738	40.2759602218	733699.76116	18205.5999146	9.17357333629	715494.161246	0.0401652874569	6.29855535502e-05	0.0402282730104	0.0401023019033	29470.4085038	28783.094456	28692.9628643	1.1869013704	2037025.22193	1981233.86772	1975029.81756	58454639.4043	53156267.5196
R_2	2101.532772	0.000475843162345	-18.9583023296	-6.84090441062	0.806791184361	-2.0	7.64769559498	-7.64769559498	7.6504222489	-7.6504222489	0.438266758919	9.92353025818e-08	0.438266659684	2101.53229616	1026946.5447	488.66549139	18.9583023296	1026457.87921	0.361538308503	1.60024586509e-06	0.361539908749	0.361536708257	371280.517476	371105.487983	371102.202814	1.1869013704	2037025.22193	17805763.4132	17805605.7897	58454639.4043	53156267.5196
R_3	0.398037013344	2.5123291716	2.28613192917	1.72900672773	0.806791184361	-2.0	-0.922215543369	0.922215543369	-0.921210279671	0.921210279671	8.30091227186e-05	0.000523936803673	-0.000440927680954	-2.11429215826	464336.742187	1166566.74284	-2.28613192917	-702230.000655	0.00078000020582	0.00395789169606	0.00473789190188	-0.00317789149024	4979.32757887	-3327.08983336	2231.61074327	1.1869013704	2037025.22193	233340.165887	-156510.478259	58454639.4043	53156267.5196
R_4	2.6154560853	0.382342493005	-2.38634101476	0.650942921929	1.61358236872	-4.0	0.962639446792	-0.962639446792	0.961438493515	-0.961438493515	0.000545443533822	7.97360895053e-05	0.000465707444316	2.2331135923	2012495.28814	769462.465627	2.38634101476	1243032.82251	0.00409841431634	0.000752452593165	0.00485086690951	0.00334596172318	8827.02352807	6029.78678614	4159.14024477	1.1869013704	2037025.22193	238904.160923	164787.901393	58454639.4043	53156267.5196
R_5	1113.30154558	0.00089822923894	-17.3979824557	-7.01826943544	-0.0	0.0	7.01826943544	-7.01826943544	7.01508524502	-7.01508524502	0.232174851891	1.87322330902e-07	0.232174664568	1113.30064735	1728455.73661	1552.54948084	17.3979824557	1726903.18713	0.339036698476	2.90170439262e-06	0.33903960018	0.339033796772	586009.930908	585488.566116	585478.54419	1.1869013704	2037025.22193	16697628.0141	16697342.1974	58454639.4043	53156267.5196
R_6	0.0206807003956	48.3542617451	9.61653037719	7.10643070367	3.22716473744	-8.0	-3.87926596623	3.87926596623	-3.87855436166	3.87855436166	4.31288231872e-06	0.0100840994998	-0.0100797866175	-48.3335810447	109262.318078	5283298.7272	-9.61653037719	-5174036.40912	5.32809346718e-05	0.0463545422202	0.0464078231548	-0.0463012612855	244910.71551	-240115.766671	239564.411679	1.1869013704	2037025.22193	2285575.39464	-2280327.2453	58454639.4043	53156267.5196
R_7	1462.13778779	0.000683930070307	-18.0706795353	-6.48284128788	0.806791184361	-2.0	7.28963247224	-7.28963247224	7.28765488196	-7.28765488196	0.304923338758	1.42631044938e-07	0.304923196127	1462.13710386	272773.477172	186.55798342	18.0706795353	272586.919189	0.362155888937	2.24829382405e-06	0.362158137231	0.362153640644	98786.5215232	98719.5708869	98718.345176	1.1869013704	2037025.22193	17836211.0341	17835989.5782	58454639.4043	53156267.5196
R_8	21.2959999917	0.0469571750746	-7.58193545922	-3.05851934445	-0.0	0.0	3.05851934445	-3.05851934445	3.05851926127	-3.05851926127	0.00444120073628	9.792742327e-06	0.00443140799396	21.2490428167	51676362.7801	2426576.01428	7.58193545922	49249786.7658	0.0240572316182	0.0001129482074	0.0241701798256	0.0239442834108	1243464.306	1190376.2025	1179250.85224	1.1869013704	2037025.22193	1190376.2025	1179250.85224	58454639.4043	53156267.5196
R_9	0.661036952	1.51277473517	1.21969280488	0.492018701303	-0.0	0.0	-0.492018701303	0.492018701303	-0.413945537517	0.413945537517	0.000137856771181	0.000315483483766	-0.000177626712585	-0.851737783172	17920.050855	27109.0001864	-1.21969280488	-9188.94933143	0.00122544954838	0.0025432398895	0.00376868943788	-0.00131779034112	90.9048088657	-34.6302962905	12.109108674	1.1869013704	2037025.22193	185607.151202	-64900.8933024	58454639.4043	53156267.5196
