,fullS*net_flux
A,391266.282692
B,10131497.8749
C,-6148853.32896
D,-46491134.2016
E,483870.364622
F,-5164847.45979
A_ext,-715494.161246
D_ext,49249786.7658
E_ext,-1726903.18713
F_ext,-9188.94933143
