,Log Concentrations
A,-10.608318523
B,-17.4492229336
C,-8.87931179529
D,-15.3621530832
E,-13.9260261546
F,-18.9127033683
A_ext,-6.90773947462
D_ext,-18.4206724276
E_ext,-6.90775671919
F_ext,-18.420684667
