,Backward probabilities
R_1,2.34821232205e-14
R_2,1.67767526823e-14
R_3,3.71041673705e-14
R_4,8.56092846525e-15
R_5,9.96775782766e-15
R_6,1.57683165629e-13
R_7,6.31616694446e-14
R_8,3.33398623113e-16
R_9,9.61427416575e-13
