,Forward Log likelihoods
R_1,13.5058551792
R_2,13.8421004376
R_3,13.0483653055
R_4,14.514885947
R_5,14.36273893
R_6,11.6015068579
R_7,12.5163969758
R_8,17.7605110353
R_9,9.79367552441
